"","load_min.counts","simulation","simul_subset.cells","simul_proportional","bulk_n.cells","bulk_num.bulk.samples","bulk_balanced.type.cells","train_combine","predict_normalize"
"A1B1C1D1E1F1G1H1I1",0,"no",110,"YES",100,10000,"YES","both","YES"
"A2B1C1D1E1F1G1H1I1",1,"no",110,"YES",100,10000,"YES","both","YES"
"A1B2C1D1E1F1G1H1I1",0,"limit_1000",110,"YES",100,10000,"YES","both","YES"
"A2B2C1D1E1F1G1H1I1",1,"limit_1000",110,"YES",100,10000,"YES","both","YES"
"A1B1C2D1E1F1G1H1I1",0,"no",1100,"YES",100,10000,"YES","both","YES"
"A2B1C2D1E1F1G1H1I1",1,"no",1100,"YES",100,10000,"YES","both","YES"
"A1B2C2D1E1F1G1H1I1",0,"limit_1000",1100,"YES",100,10000,"YES","both","YES"
"A2B2C2D1E1F1G1H1I1",1,"limit_1000",1100,"YES",100,10000,"YES","both","YES"
"A1B1C1D2E1F1G1H1I1",0,"no",110,"NO",100,10000,"YES","both","YES"
"A2B1C1D2E1F1G1H1I1",1,"no",110,"NO",100,10000,"YES","both","YES"
"A1B2C1D2E1F1G1H1I1",0,"limit_1000",110,"NO",100,10000,"YES","both","YES"
"A2B2C1D2E1F1G1H1I1",1,"limit_1000",110,"NO",100,10000,"YES","both","YES"
"A1B1C2D2E1F1G1H1I1",0,"no",1100,"NO",100,10000,"YES","both","YES"
"A2B1C2D2E1F1G1H1I1",1,"no",1100,"NO",100,10000,"YES","both","YES"
"A1B2C2D2E1F1G1H1I1",0,"limit_1000",1100,"NO",100,10000,"YES","both","YES"
"A2B2C2D2E1F1G1H1I1",1,"limit_1000",1100,"NO",100,10000,"YES","both","YES"
"A1B1C1D1E2F1G1H1I1",0,"no",110,"YES",500,10000,"YES","both","YES"
"A2B1C1D1E2F1G1H1I1",1,"no",110,"YES",500,10000,"YES","both","YES"
"A1B2C1D1E2F1G1H1I1",0,"limit_1000",110,"YES",500,10000,"YES","both","YES"
"A2B2C1D1E2F1G1H1I1",1,"limit_1000",110,"YES",500,10000,"YES","both","YES"
"A1B1C2D1E2F1G1H1I1",0,"no",1100,"YES",500,10000,"YES","both","YES"
"A2B1C2D1E2F1G1H1I1",1,"no",1100,"YES",500,10000,"YES","both","YES"
"A1B2C2D1E2F1G1H1I1",0,"limit_1000",1100,"YES",500,10000,"YES","both","YES"
"A2B2C2D1E2F1G1H1I1",1,"limit_1000",1100,"YES",500,10000,"YES","both","YES"
"A1B1C1D2E2F1G1H1I1",0,"no",110,"NO",500,10000,"YES","both","YES"
"A2B1C1D2E2F1G1H1I1",1,"no",110,"NO",500,10000,"YES","both","YES"
"A1B2C1D2E2F1G1H1I1",0,"limit_1000",110,"NO",500,10000,"YES","both","YES"
"A2B2C1D2E2F1G1H1I1",1,"limit_1000",110,"NO",500,10000,"YES","both","YES"
"A1B1C2D2E2F1G1H1I1",0,"no",1100,"NO",500,10000,"YES","both","YES"
"A2B1C2D2E2F1G1H1I1",1,"no",1100,"NO",500,10000,"YES","both","YES"
"A1B2C2D2E2F1G1H1I1",0,"limit_1000",1100,"NO",500,10000,"YES","both","YES"
"A2B2C2D2E2F1G1H1I1",1,"limit_1000",1100,"NO",500,10000,"YES","both","YES"
"A1B1C1D1E1F2G1H1I1",0,"no",110,"YES",100,20000,"YES","both","YES"
"A2B1C1D1E1F2G1H1I1",1,"no",110,"YES",100,20000,"YES","both","YES"
"A1B2C1D1E1F2G1H1I1",0,"limit_1000",110,"YES",100,20000,"YES","both","YES"
"A2B2C1D1E1F2G1H1I1",1,"limit_1000",110,"YES",100,20000,"YES","both","YES"
"A1B1C2D1E1F2G1H1I1",0,"no",1100,"YES",100,20000,"YES","both","YES"
"A2B1C2D1E1F2G1H1I1",1,"no",1100,"YES",100,20000,"YES","both","YES"
"A1B2C2D1E1F2G1H1I1",0,"limit_1000",1100,"YES",100,20000,"YES","both","YES"
"A2B2C2D1E1F2G1H1I1",1,"limit_1000",1100,"YES",100,20000,"YES","both","YES"
"A1B1C1D2E1F2G1H1I1",0,"no",110,"NO",100,20000,"YES","both","YES"
"A2B1C1D2E1F2G1H1I1",1,"no",110,"NO",100,20000,"YES","both","YES"
"A1B2C1D2E1F2G1H1I1",0,"limit_1000",110,"NO",100,20000,"YES","both","YES"
"A2B2C1D2E1F2G1H1I1",1,"limit_1000",110,"NO",100,20000,"YES","both","YES"
"A1B1C2D2E1F2G1H1I1",0,"no",1100,"NO",100,20000,"YES","both","YES"
"A2B1C2D2E1F2G1H1I1",1,"no",1100,"NO",100,20000,"YES","both","YES"
"A1B2C2D2E1F2G1H1I1",0,"limit_1000",1100,"NO",100,20000,"YES","both","YES"
"A2B2C2D2E1F2G1H1I1",1,"limit_1000",1100,"NO",100,20000,"YES","both","YES"
"A1B1C1D1E2F2G1H1I1",0,"no",110,"YES",500,20000,"YES","both","YES"
"A2B1C1D1E2F2G1H1I1",1,"no",110,"YES",500,20000,"YES","both","YES"
"A1B2C1D1E2F2G1H1I1",0,"limit_1000",110,"YES",500,20000,"YES","both","YES"
"A2B2C1D1E2F2G1H1I1",1,"limit_1000",110,"YES",500,20000,"YES","both","YES"
"A1B1C2D1E2F2G1H1I1",0,"no",1100,"YES",500,20000,"YES","both","YES"
"A2B1C2D1E2F2G1H1I1",1,"no",1100,"YES",500,20000,"YES","both","YES"
"A1B2C2D1E2F2G1H1I1",0,"limit_1000",1100,"YES",500,20000,"YES","both","YES"
"A2B2C2D1E2F2G1H1I1",1,"limit_1000",1100,"YES",500,20000,"YES","both","YES"
"A1B1C1D2E2F2G1H1I1",0,"no",110,"NO",500,20000,"YES","both","YES"
"A2B1C1D2E2F2G1H1I1",1,"no",110,"NO",500,20000,"YES","both","YES"
"A1B2C1D2E2F2G1H1I1",0,"limit_1000",110,"NO",500,20000,"YES","both","YES"
"A2B2C1D2E2F2G1H1I1",1,"limit_1000",110,"NO",500,20000,"YES","both","YES"
"A1B1C2D2E2F2G1H1I1",0,"no",1100,"NO",500,20000,"YES","both","YES"
"A2B1C2D2E2F2G1H1I1",1,"no",1100,"NO",500,20000,"YES","both","YES"
"A1B2C2D2E2F2G1H1I1",0,"limit_1000",1100,"NO",500,20000,"YES","both","YES"
"A2B2C2D2E2F2G1H1I1",1,"limit_1000",1100,"NO",500,20000,"YES","both","YES"
"A1B1C1D1E1F1G2H1I1",0,"no",110,"YES",100,10000,"NO","both","YES"
"A2B1C1D1E1F1G2H1I1",1,"no",110,"YES",100,10000,"NO","both","YES"
"A1B2C1D1E1F1G2H1I1",0,"limit_1000",110,"YES",100,10000,"NO","both","YES"
"A2B2C1D1E1F1G2H1I1",1,"limit_1000",110,"YES",100,10000,"NO","both","YES"
"A1B1C2D1E1F1G2H1I1",0,"no",1100,"YES",100,10000,"NO","both","YES"
"A2B1C2D1E1F1G2H1I1",1,"no",1100,"YES",100,10000,"NO","both","YES"
"A1B2C2D1E1F1G2H1I1",0,"limit_1000",1100,"YES",100,10000,"NO","both","YES"
"A2B2C2D1E1F1G2H1I1",1,"limit_1000",1100,"YES",100,10000,"NO","both","YES"
"A1B1C1D2E1F1G2H1I1",0,"no",110,"NO",100,10000,"NO","both","YES"
"A2B1C1D2E1F1G2H1I1",1,"no",110,"NO",100,10000,"NO","both","YES"
"A1B2C1D2E1F1G2H1I1",0,"limit_1000",110,"NO",100,10000,"NO","both","YES"
"A2B2C1D2E1F1G2H1I1",1,"limit_1000",110,"NO",100,10000,"NO","both","YES"
"A1B1C2D2E1F1G2H1I1",0,"no",1100,"NO",100,10000,"NO","both","YES"
"A2B1C2D2E1F1G2H1I1",1,"no",1100,"NO",100,10000,"NO","both","YES"
"A1B2C2D2E1F1G2H1I1",0,"limit_1000",1100,"NO",100,10000,"NO","both","YES"
"A2B2C2D2E1F1G2H1I1",1,"limit_1000",1100,"NO",100,10000,"NO","both","YES"
"A1B1C1D1E2F1G2H1I1",0,"no",110,"YES",500,10000,"NO","both","YES"
"A2B1C1D1E2F1G2H1I1",1,"no",110,"YES",500,10000,"NO","both","YES"
"A1B2C1D1E2F1G2H1I1",0,"limit_1000",110,"YES",500,10000,"NO","both","YES"
"A2B2C1D1E2F1G2H1I1",1,"limit_1000",110,"YES",500,10000,"NO","both","YES"
"A1B1C2D1E2F1G2H1I1",0,"no",1100,"YES",500,10000,"NO","both","YES"
"A2B1C2D1E2F1G2H1I1",1,"no",1100,"YES",500,10000,"NO","both","YES"
"A1B2C2D1E2F1G2H1I1",0,"limit_1000",1100,"YES",500,10000,"NO","both","YES"
"A2B2C2D1E2F1G2H1I1",1,"limit_1000",1100,"YES",500,10000,"NO","both","YES"
"A1B1C1D2E2F1G2H1I1",0,"no",110,"NO",500,10000,"NO","both","YES"
"A2B1C1D2E2F1G2H1I1",1,"no",110,"NO",500,10000,"NO","both","YES"
"A1B2C1D2E2F1G2H1I1",0,"limit_1000",110,"NO",500,10000,"NO","both","YES"
"A2B2C1D2E2F1G2H1I1",1,"limit_1000",110,"NO",500,10000,"NO","both","YES"
"A1B1C2D2E2F1G2H1I1",0,"no",1100,"NO",500,10000,"NO","both","YES"
"A2B1C2D2E2F1G2H1I1",1,"no",1100,"NO",500,10000,"NO","both","YES"
"A1B2C2D2E2F1G2H1I1",0,"limit_1000",1100,"NO",500,10000,"NO","both","YES"
"A2B2C2D2E2F1G2H1I1",1,"limit_1000",1100,"NO",500,10000,"NO","both","YES"
"A1B1C1D1E1F2G2H1I1",0,"no",110,"YES",100,20000,"NO","both","YES"
"A2B1C1D1E1F2G2H1I1",1,"no",110,"YES",100,20000,"NO","both","YES"
"A1B2C1D1E1F2G2H1I1",0,"limit_1000",110,"YES",100,20000,"NO","both","YES"
"A2B2C1D1E1F2G2H1I1",1,"limit_1000",110,"YES",100,20000,"NO","both","YES"
"A1B1C2D1E1F2G2H1I1",0,"no",1100,"YES",100,20000,"NO","both","YES"
"A2B1C2D1E1F2G2H1I1",1,"no",1100,"YES",100,20000,"NO","both","YES"
"A1B2C2D1E1F2G2H1I1",0,"limit_1000",1100,"YES",100,20000,"NO","both","YES"
"A2B2C2D1E1F2G2H1I1",1,"limit_1000",1100,"YES",100,20000,"NO","both","YES"
"A1B1C1D2E1F2G2H1I1",0,"no",110,"NO",100,20000,"NO","both","YES"
"A2B1C1D2E1F2G2H1I1",1,"no",110,"NO",100,20000,"NO","both","YES"
"A1B2C1D2E1F2G2H1I1",0,"limit_1000",110,"NO",100,20000,"NO","both","YES"
"A2B2C1D2E1F2G2H1I1",1,"limit_1000",110,"NO",100,20000,"NO","both","YES"
"A1B1C2D2E1F2G2H1I1",0,"no",1100,"NO",100,20000,"NO","both","YES"
"A2B1C2D2E1F2G2H1I1",1,"no",1100,"NO",100,20000,"NO","both","YES"
"A1B2C2D2E1F2G2H1I1",0,"limit_1000",1100,"NO",100,20000,"NO","both","YES"
"A2B2C2D2E1F2G2H1I1",1,"limit_1000",1100,"NO",100,20000,"NO","both","YES"
"A1B1C1D1E2F2G2H1I1",0,"no",110,"YES",500,20000,"NO","both","YES"
"A2B1C1D1E2F2G2H1I1",1,"no",110,"YES",500,20000,"NO","both","YES"
"A1B2C1D1E2F2G2H1I1",0,"limit_1000",110,"YES",500,20000,"NO","both","YES"
"A2B2C1D1E2F2G2H1I1",1,"limit_1000",110,"YES",500,20000,"NO","both","YES"
"A1B1C2D1E2F2G2H1I1",0,"no",1100,"YES",500,20000,"NO","both","YES"
"A2B1C2D1E2F2G2H1I1",1,"no",1100,"YES",500,20000,"NO","both","YES"
"A1B2C2D1E2F2G2H1I1",0,"limit_1000",1100,"YES",500,20000,"NO","both","YES"
"A2B2C2D1E2F2G2H1I1",1,"limit_1000",1100,"YES",500,20000,"NO","both","YES"
"A1B1C1D2E2F2G2H1I1",0,"no",110,"NO",500,20000,"NO","both","YES"
"A2B1C1D2E2F2G2H1I1",1,"no",110,"NO",500,20000,"NO","both","YES"
"A1B2C1D2E2F2G2H1I1",0,"limit_1000",110,"NO",500,20000,"NO","both","YES"
"A2B2C1D2E2F2G2H1I1",1,"limit_1000",110,"NO",500,20000,"NO","both","YES"
"A1B1C2D2E2F2G2H1I1",0,"no",1100,"NO",500,20000,"NO","both","YES"
"A2B1C2D2E2F2G2H1I1",1,"no",1100,"NO",500,20000,"NO","both","YES"
"A1B2C2D2E2F2G2H1I1",0,"limit_1000",1100,"NO",500,20000,"NO","both","YES"
"A2B2C2D2E2F2G2H1I1",1,"limit_1000",1100,"NO",500,20000,"NO","both","YES"
"A1B1C1D1E1F1G1H2I1",0,"no",110,"YES",100,10000,"YES","single-cell","YES"
"A2B1C1D1E1F1G1H2I1",1,"no",110,"YES",100,10000,"YES","single-cell","YES"
"A1B2C1D1E1F1G1H2I1",0,"limit_1000",110,"YES",100,10000,"YES","single-cell","YES"
"A2B2C1D1E1F1G1H2I1",1,"limit_1000",110,"YES",100,10000,"YES","single-cell","YES"
"A1B1C2D1E1F1G1H2I1",0,"no",1100,"YES",100,10000,"YES","single-cell","YES"
"A2B1C2D1E1F1G1H2I1",1,"no",1100,"YES",100,10000,"YES","single-cell","YES"
"A1B2C2D1E1F1G1H2I1",0,"limit_1000",1100,"YES",100,10000,"YES","single-cell","YES"
"A2B2C2D1E1F1G1H2I1",1,"limit_1000",1100,"YES",100,10000,"YES","single-cell","YES"
"A1B1C1D2E1F1G1H2I1",0,"no",110,"NO",100,10000,"YES","single-cell","YES"
"A2B1C1D2E1F1G1H2I1",1,"no",110,"NO",100,10000,"YES","single-cell","YES"
"A1B2C1D2E1F1G1H2I1",0,"limit_1000",110,"NO",100,10000,"YES","single-cell","YES"
"A2B2C1D2E1F1G1H2I1",1,"limit_1000",110,"NO",100,10000,"YES","single-cell","YES"
"A1B1C2D2E1F1G1H2I1",0,"no",1100,"NO",100,10000,"YES","single-cell","YES"
"A2B1C2D2E1F1G1H2I1",1,"no",1100,"NO",100,10000,"YES","single-cell","YES"
"A1B2C2D2E1F1G1H2I1",0,"limit_1000",1100,"NO",100,10000,"YES","single-cell","YES"
"A2B2C2D2E1F1G1H2I1",1,"limit_1000",1100,"NO",100,10000,"YES","single-cell","YES"
"A1B1C1D1E2F1G1H2I1",0,"no",110,"YES",500,10000,"YES","single-cell","YES"
"A2B1C1D1E2F1G1H2I1",1,"no",110,"YES",500,10000,"YES","single-cell","YES"
"A1B2C1D1E2F1G1H2I1",0,"limit_1000",110,"YES",500,10000,"YES","single-cell","YES"
"A2B2C1D1E2F1G1H2I1",1,"limit_1000",110,"YES",500,10000,"YES","single-cell","YES"
"A1B1C2D1E2F1G1H2I1",0,"no",1100,"YES",500,10000,"YES","single-cell","YES"
"A2B1C2D1E2F1G1H2I1",1,"no",1100,"YES",500,10000,"YES","single-cell","YES"
"A1B2C2D1E2F1G1H2I1",0,"limit_1000",1100,"YES",500,10000,"YES","single-cell","YES"
"A2B2C2D1E2F1G1H2I1",1,"limit_1000",1100,"YES",500,10000,"YES","single-cell","YES"
"A1B1C1D2E2F1G1H2I1",0,"no",110,"NO",500,10000,"YES","single-cell","YES"
"A2B1C1D2E2F1G1H2I1",1,"no",110,"NO",500,10000,"YES","single-cell","YES"
"A1B2C1D2E2F1G1H2I1",0,"limit_1000",110,"NO",500,10000,"YES","single-cell","YES"
"A2B2C1D2E2F1G1H2I1",1,"limit_1000",110,"NO",500,10000,"YES","single-cell","YES"
"A1B1C2D2E2F1G1H2I1",0,"no",1100,"NO",500,10000,"YES","single-cell","YES"
"A2B1C2D2E2F1G1H2I1",1,"no",1100,"NO",500,10000,"YES","single-cell","YES"
"A1B2C2D2E2F1G1H2I1",0,"limit_1000",1100,"NO",500,10000,"YES","single-cell","YES"
"A2B2C2D2E2F1G1H2I1",1,"limit_1000",1100,"NO",500,10000,"YES","single-cell","YES"
"A1B1C1D1E1F2G1H2I1",0,"no",110,"YES",100,20000,"YES","single-cell","YES"
"A2B1C1D1E1F2G1H2I1",1,"no",110,"YES",100,20000,"YES","single-cell","YES"
"A1B2C1D1E1F2G1H2I1",0,"limit_1000",110,"YES",100,20000,"YES","single-cell","YES"
"A2B2C1D1E1F2G1H2I1",1,"limit_1000",110,"YES",100,20000,"YES","single-cell","YES"
"A1B1C2D1E1F2G1H2I1",0,"no",1100,"YES",100,20000,"YES","single-cell","YES"
"A2B1C2D1E1F2G1H2I1",1,"no",1100,"YES",100,20000,"YES","single-cell","YES"
"A1B2C2D1E1F2G1H2I1",0,"limit_1000",1100,"YES",100,20000,"YES","single-cell","YES"
"A2B2C2D1E1F2G1H2I1",1,"limit_1000",1100,"YES",100,20000,"YES","single-cell","YES"
"A1B1C1D2E1F2G1H2I1",0,"no",110,"NO",100,20000,"YES","single-cell","YES"
"A2B1C1D2E1F2G1H2I1",1,"no",110,"NO",100,20000,"YES","single-cell","YES"
"A1B2C1D2E1F2G1H2I1",0,"limit_1000",110,"NO",100,20000,"YES","single-cell","YES"
"A2B2C1D2E1F2G1H2I1",1,"limit_1000",110,"NO",100,20000,"YES","single-cell","YES"
"A1B1C2D2E1F2G1H2I1",0,"no",1100,"NO",100,20000,"YES","single-cell","YES"
"A2B1C2D2E1F2G1H2I1",1,"no",1100,"NO",100,20000,"YES","single-cell","YES"
"A1B2C2D2E1F2G1H2I1",0,"limit_1000",1100,"NO",100,20000,"YES","single-cell","YES"
"A2B2C2D2E1F2G1H2I1",1,"limit_1000",1100,"NO",100,20000,"YES","single-cell","YES"
"A1B1C1D1E2F2G1H2I1",0,"no",110,"YES",500,20000,"YES","single-cell","YES"
"A2B1C1D1E2F2G1H2I1",1,"no",110,"YES",500,20000,"YES","single-cell","YES"
"A1B2C1D1E2F2G1H2I1",0,"limit_1000",110,"YES",500,20000,"YES","single-cell","YES"
"A2B2C1D1E2F2G1H2I1",1,"limit_1000",110,"YES",500,20000,"YES","single-cell","YES"
"A1B1C2D1E2F2G1H2I1",0,"no",1100,"YES",500,20000,"YES","single-cell","YES"
"A2B1C2D1E2F2G1H2I1",1,"no",1100,"YES",500,20000,"YES","single-cell","YES"
"A1B2C2D1E2F2G1H2I1",0,"limit_1000",1100,"YES",500,20000,"YES","single-cell","YES"
"A2B2C2D1E2F2G1H2I1",1,"limit_1000",1100,"YES",500,20000,"YES","single-cell","YES"
"A1B1C1D2E2F2G1H2I1",0,"no",110,"NO",500,20000,"YES","single-cell","YES"
"A2B1C1D2E2F2G1H2I1",1,"no",110,"NO",500,20000,"YES","single-cell","YES"
"A1B2C1D2E2F2G1H2I1",0,"limit_1000",110,"NO",500,20000,"YES","single-cell","YES"
"A2B2C1D2E2F2G1H2I1",1,"limit_1000",110,"NO",500,20000,"YES","single-cell","YES"
"A1B1C2D2E2F2G1H2I1",0,"no",1100,"NO",500,20000,"YES","single-cell","YES"
"A2B1C2D2E2F2G1H2I1",1,"no",1100,"NO",500,20000,"YES","single-cell","YES"
"A1B2C2D2E2F2G1H2I1",0,"limit_1000",1100,"NO",500,20000,"YES","single-cell","YES"
"A2B2C2D2E2F2G1H2I1",1,"limit_1000",1100,"NO",500,20000,"YES","single-cell","YES"
"A1B1C1D1E1F1G2H2I1",0,"no",110,"YES",100,10000,"NO","single-cell","YES"
"A2B1C1D1E1F1G2H2I1",1,"no",110,"YES",100,10000,"NO","single-cell","YES"
"A1B2C1D1E1F1G2H2I1",0,"limit_1000",110,"YES",100,10000,"NO","single-cell","YES"
"A2B2C1D1E1F1G2H2I1",1,"limit_1000",110,"YES",100,10000,"NO","single-cell","YES"
"A1B1C2D1E1F1G2H2I1",0,"no",1100,"YES",100,10000,"NO","single-cell","YES"
"A2B1C2D1E1F1G2H2I1",1,"no",1100,"YES",100,10000,"NO","single-cell","YES"
"A1B2C2D1E1F1G2H2I1",0,"limit_1000",1100,"YES",100,10000,"NO","single-cell","YES"
"A2B2C2D1E1F1G2H2I1",1,"limit_1000",1100,"YES",100,10000,"NO","single-cell","YES"
"A1B1C1D2E1F1G2H2I1",0,"no",110,"NO",100,10000,"NO","single-cell","YES"
"A2B1C1D2E1F1G2H2I1",1,"no",110,"NO",100,10000,"NO","single-cell","YES"
"A1B2C1D2E1F1G2H2I1",0,"limit_1000",110,"NO",100,10000,"NO","single-cell","YES"
"A2B2C1D2E1F1G2H2I1",1,"limit_1000",110,"NO",100,10000,"NO","single-cell","YES"
"A1B1C2D2E1F1G2H2I1",0,"no",1100,"NO",100,10000,"NO","single-cell","YES"
"A2B1C2D2E1F1G2H2I1",1,"no",1100,"NO",100,10000,"NO","single-cell","YES"
"A1B2C2D2E1F1G2H2I1",0,"limit_1000",1100,"NO",100,10000,"NO","single-cell","YES"
"A2B2C2D2E1F1G2H2I1",1,"limit_1000",1100,"NO",100,10000,"NO","single-cell","YES"
"A1B1C1D1E2F1G2H2I1",0,"no",110,"YES",500,10000,"NO","single-cell","YES"
"A2B1C1D1E2F1G2H2I1",1,"no",110,"YES",500,10000,"NO","single-cell","YES"
"A1B2C1D1E2F1G2H2I1",0,"limit_1000",110,"YES",500,10000,"NO","single-cell","YES"
"A2B2C1D1E2F1G2H2I1",1,"limit_1000",110,"YES",500,10000,"NO","single-cell","YES"
"A1B1C2D1E2F1G2H2I1",0,"no",1100,"YES",500,10000,"NO","single-cell","YES"
"A2B1C2D1E2F1G2H2I1",1,"no",1100,"YES",500,10000,"NO","single-cell","YES"
"A1B2C2D1E2F1G2H2I1",0,"limit_1000",1100,"YES",500,10000,"NO","single-cell","YES"
"A2B2C2D1E2F1G2H2I1",1,"limit_1000",1100,"YES",500,10000,"NO","single-cell","YES"
"A1B1C1D2E2F1G2H2I1",0,"no",110,"NO",500,10000,"NO","single-cell","YES"
"A2B1C1D2E2F1G2H2I1",1,"no",110,"NO",500,10000,"NO","single-cell","YES"
"A1B2C1D2E2F1G2H2I1",0,"limit_1000",110,"NO",500,10000,"NO","single-cell","YES"
"A2B2C1D2E2F1G2H2I1",1,"limit_1000",110,"NO",500,10000,"NO","single-cell","YES"
"A1B1C2D2E2F1G2H2I1",0,"no",1100,"NO",500,10000,"NO","single-cell","YES"
"A2B1C2D2E2F1G2H2I1",1,"no",1100,"NO",500,10000,"NO","single-cell","YES"
"A1B2C2D2E2F1G2H2I1",0,"limit_1000",1100,"NO",500,10000,"NO","single-cell","YES"
"A2B2C2D2E2F1G2H2I1",1,"limit_1000",1100,"NO",500,10000,"NO","single-cell","YES"
"A1B1C1D1E1F2G2H2I1",0,"no",110,"YES",100,20000,"NO","single-cell","YES"
"A2B1C1D1E1F2G2H2I1",1,"no",110,"YES",100,20000,"NO","single-cell","YES"
"A1B2C1D1E1F2G2H2I1",0,"limit_1000",110,"YES",100,20000,"NO","single-cell","YES"
"A2B2C1D1E1F2G2H2I1",1,"limit_1000",110,"YES",100,20000,"NO","single-cell","YES"
"A1B1C2D1E1F2G2H2I1",0,"no",1100,"YES",100,20000,"NO","single-cell","YES"
"A2B1C2D1E1F2G2H2I1",1,"no",1100,"YES",100,20000,"NO","single-cell","YES"
"A1B2C2D1E1F2G2H2I1",0,"limit_1000",1100,"YES",100,20000,"NO","single-cell","YES"
"A2B2C2D1E1F2G2H2I1",1,"limit_1000",1100,"YES",100,20000,"NO","single-cell","YES"
"A1B1C1D2E1F2G2H2I1",0,"no",110,"NO",100,20000,"NO","single-cell","YES"
"A2B1C1D2E1F2G2H2I1",1,"no",110,"NO",100,20000,"NO","single-cell","YES"
"A1B2C1D2E1F2G2H2I1",0,"limit_1000",110,"NO",100,20000,"NO","single-cell","YES"
"A2B2C1D2E1F2G2H2I1",1,"limit_1000",110,"NO",100,20000,"NO","single-cell","YES"
"A1B1C2D2E1F2G2H2I1",0,"no",1100,"NO",100,20000,"NO","single-cell","YES"
"A2B1C2D2E1F2G2H2I1",1,"no",1100,"NO",100,20000,"NO","single-cell","YES"
"A1B2C2D2E1F2G2H2I1",0,"limit_1000",1100,"NO",100,20000,"NO","single-cell","YES"
"A2B2C2D2E1F2G2H2I1",1,"limit_1000",1100,"NO",100,20000,"NO","single-cell","YES"
"A1B1C1D1E2F2G2H2I1",0,"no",110,"YES",500,20000,"NO","single-cell","YES"
"A2B1C1D1E2F2G2H2I1",1,"no",110,"YES",500,20000,"NO","single-cell","YES"
"A1B2C1D1E2F2G2H2I1",0,"limit_1000",110,"YES",500,20000,"NO","single-cell","YES"
"A2B2C1D1E2F2G2H2I1",1,"limit_1000",110,"YES",500,20000,"NO","single-cell","YES"
"A1B1C2D1E2F2G2H2I1",0,"no",1100,"YES",500,20000,"NO","single-cell","YES"
"A2B1C2D1E2F2G2H2I1",1,"no",1100,"YES",500,20000,"NO","single-cell","YES"
"A1B2C2D1E2F2G2H2I1",0,"limit_1000",1100,"YES",500,20000,"NO","single-cell","YES"
"A2B2C2D1E2F2G2H2I1",1,"limit_1000",1100,"YES",500,20000,"NO","single-cell","YES"
